,seed_id
APS_c,NA
DNA_c,cpd11461
GPE_c,NA
LOS_c,cpd20849
RNASYNTH_c,NA
cdp00251_c,NA
cpd00001_c,cpd00001
cpd00001_e,cpd00001
cpd00002_c,cpd00002
cpd00002_e,cpd00002
cpd00003_c,cpd00003
cpd00004_c,cpd00004
cpd00005_c,cpd00005
cpd00006_c,cpd00006
cpd00007_c,cpd00007
cpd00007_e,cpd00007
cpd00008_c,cpd00008
cpd00009_c,cpd00009
cpd00009_e,cpd00009
cpd00010_c,cpd00010
cpd00010_e,cpd00010
cpd00011_c,cpd00011
cpd00011_e,cpd00011
cpd00012_c,cpd00012
cpd00012_e,cpd00012
cpd00013_c,cpd00013
cpd00013_e,cpd00013
cpd00014_c,cpd00014
cpd00015_c,cpd00015
cpd00016_c,cpd00016
cpd00017_c,cpd00017
cpd00018_c,cpd00018
cpd00019_c,cpd00019
cpd00020_c,cpd00020
cpd00020_e,cpd00020
cpd00022_c,cpd00022
cpd00023_c,cpd00023
cpd00023_e,cpd00023
cpd00024_c,cpd00024
cpd00025_c,cpd00025
cpd00026_c,cpd00026
cpd00027_c,cpd00027
cpd00027_e,cpd00027
cpd00028_c,cpd00028
cpd00029_c,cpd00029
cpd00030_c,cpd00030
cpd00030_e,cpd00030
cpd00031_c,cpd00031
cpd00032_c,cpd00032
cpd00033_c,cpd00033
cpd00033_e,cpd00033
cpd00034_c,cpd00034
cpd00034_e,cpd00034
cpd00035_c,cpd00035
cpd00035_e,cpd00035
cpd00036_c,cpd00036
cpd00037_c,cpd00037
cpd00038_c,cpd00038
cpd00039_c,cpd00039
cpd00039_e,cpd00039
cpd00040_c,cpd00040
cpd00041_c,cpd00041
cpd00041_e,cpd00041
cpd00042_c,cpd00042
cpd00043_c,cpd00043
cpd00044_c,cpd00044
cpd00045_c,cpd00045
cpd00046_c,cpd00046
cpd00047_c,cpd00047
cpd00048_c,cpd00048
cpd00048_e,cpd00048
cpd00049_c,cpd00049
cpd00050_c,cpd00050
cpd00051_c,cpd00051
cpd00051_e,cpd00051
cpd00052_c,cpd00052
cpd00053_c,cpd00053
cpd00053_e,cpd00053
cpd00054_c,cpd00054
cpd00054_e,cpd00054
cpd00056_c,cpd00056
cpd00058_c,cpd00058
cpd00058_e,cpd00058
cpd00060_c,cpd00060
cpd00060_e,cpd00060
cpd00061_c,cpd00061
cpd00062_c,cpd00062
cpd00063_c,cpd00063
cpd00063_e,cpd00063
cpd00064_c,cpd00064
cpd00064_e,cpd00064
cpd00065_c,cpd00065
